"Country Name";"out_of_pocket_expenditures";"Nb_physicians";"Nb_deaths_avoidable";"Nb_beds";"Life_expectancy";"Mortality_at_birth";"UHC";"Country Code";"health_expenditures";"health_expenditures_capita";"gov_expenditures";"private_expenditures";"gini_index";"poverty_ratio"
"Australia";16,604;3,68;154;NA;82,5;3,2;86,6458;"AUS";10,12281322;5133,73032477183;71,25540161;28,7446022;NA;NA
"Austria";19,153;5,16;188,8;7,37;81,6439024390244;3;80,7994;"AUT";10,38;5641;73,81;26,19;29,7;0,3
"Belgium";18,385;3,3;180,3;5,68;81,4926829268293;3,3;84,5216;"BEL";10,79855728;5458,28053823334;76,72920227;23,27079201;27,4;0,1
"Canada";15,815;2,66;184,4;2,53;81,8329268292683;4,6;88,9706;"CAN";10,90631104;5268,3075613014;69,61568451;30,38431358;33,3;0,2
"Chile";33,305;NA;213,6;2,11;80,35;6,6;78,2702;"CHL";9,090518;2231,44151743259;50,39948273;49,60051346;45,3;0,4
"Colombia";15,363;NA;253,8;1,77;76,646;12,6;77,1648;"COL";7,67864323;1100,72691831969;71,04096222;28,95903397;49,7;4,3
"Costa Rica";21,255;NA;228,8;1,14;79,377;7,5;76,734;"CRI";7,04522991;1420,89768620743;73,50926971;26,43719864;48,3;1,2
"Czechia";14,136;NA;264,6;6,68;78,9780487804878;2,6;77,5919;"CZE";7,38071585;2869,78513781705;84,04471588;15,95528316;24,9;0
"Denmark";13,694;4,11;188,6;2,61;81,1024390243903;3,4;83,9592;"DNK";10,1;5606;83,96;16,04;28,7;0,1
"Estonia";24,807;3,47;317,7;4,61;78,0926829268293;2,1;76,77;"EST";6,59727097;2234,29079645641;73,49200439;26,48119926;30,4;0,3
"Finland";19,046;3,46;192,7;3,75;81,6317073170732;1,9;83,072;"FIN";9,13;4342;78,01;21,98;27,4;0,1
"France";9,895;3,14;158,7;5,97;82,5756097560976;3,3;83,5941;"FRA";11,35469437;5069,78688558068;75,78040314;24,21971703;31,6;0
"Germany";12,687;4,25;196,4;8;80,9926829268293;3,2;85,2287;"DEU";11,33617592;6026,14131620813;77,60137939;22,39862251;31,3;0,2
"Greece";34,995;NA;198,1;4,21;81,2878048780488;3,6;76,5089;"GRC";8,13515854;2324,13045137244;52,16238785;47,6586113;34,4;0,9
"Hungary";27,249;3,32;419,4;7,02;75,8170731707317;3,8;71,1277;"HUN";6,74;1987;68,46;31,54;30,6;0,6
"Iceland";16,325;3,88;149,8;3,07;82,6609756097561;2,1;85,5342;"ISL";8,26;4593;81,86;18,14;26,1;0
"Ireland";12,584;3,27;165,7;2,98;82,1560975609756;3;82,1652;"IRL";7,12621927;5582,93193169313;72,97912598;27,02087402;31,4;0,2
"Israel";22,431;3,14;136,6;3,01;82,5512195121951;3;83,5439;"ISR";7,18;2968;63,88;34,74;38,2;0,5
"Italy";23,806;4,03;146;3,21;82,9463414634147;2,8;82,3598;"ITA";8,68;3605;73,74;26,26;35,9;1,4
"Japan";12,655;NA;142,6;13,03;84,099756097561;1,9;83,9855;"JPN";10,66;4427;84,21;15,79;NA;NA
"Korea";34,737;2,35;158,1;12,29;82,6268292682927;2,8;86,0859;"KOR";7,04742336;2878,05275752719;56,9288063;43,0711937;34,9;0,2
"Latvia";41,788;3,21;435,6;5,57;74,6292682926829;3,8;70,2304;"LVA";5,97;1704;57,17;42,67;35,6;0,8
"Lithuania";32,645;4,56;412,1;6,56;75,4804878048781;3,5;66,8783;"LTU";6,48;2161;65,46;34,39;37,3;1
"Luxembourg";10,661;2,99;160,5;4,66;82,0951219512195;2,2;83,9293;"LUX";5,14;5962;84,78;13,84;34,5;0,3
"Mexico";41,788;2,4;385;0,98;74,138;13,1;73,3156;"MEX";5,45759058;1093,28675776459;50,53536606;49,46463013;NA;NA
"Netherlands";11,049;3,6;157,5;3,28;81,7609756097561;3,5;85,4392;"NLD";10,11;5585;64,32;35,66;28,5;0,2
"New Zealand";13,577;3,25;NA;2,7;81,8585365853659;4,3;85,2977;"NZL";8,96694851;3839,43309115587;75,4573822;24,54491043;NA;NA
"Norway";14,512;4,35;NA;3,6;82,609756097561;2,1;84,6357;"NOR";10,23;6631;85,12;14,88;27;0,3
"Poland";22,736;2,35;290,1;6,55;77,7536585365854;4;73,699;"POL";6,58;1972;68,82;31,15;29,7;0,3
"Portugal";29,688;NA;187,2;3,38;81,4243902439025;2,9;83,86;"PRT";9,31;3072;61,14;38,77;33,8;0,4
"Slovak Republic";18,712;NA;335,7;5,82;77,1658536585366;5;76,4533;"SVK";6,76;2038;79,04;20,95;23,2;0,2
"Slovenia";12,322;3,1;211,4;4,5;81,0292682926829;2;78,6875;"SVN";8,18;2989;71,8;28,2;24,2;0
"Spain";22,242;3,88;151,9;2,98;83,2829268292683;2,7;84,9077;"ESP";8,94491291;3542,68842892349;70,50817871;29,49181938;34,7;0,7
"Sweden";14,087;4,27;152,5;2,21;82,409756097561;2,3;86,0529;"SWE";10,79;5638;84,71;15,29;28,8;0,2
"Switzerland";21,642;4,3;131,2;4,65;83,5512195121951;3,6;85,7441;"CHE";11,0451622;7560,96969305991;33,84525299;66,15475464;32,7;0
"Türkiye";17,384;NA;267,5;2,81;77,141;10,4;77,1823;"TUR";4,18;1153;77,71;22,29;43,5;0,3
"United Kingdom";14,886;2,81;197,3;2,54;81,2560975609756;3,8;87,2169;"GBR";9,5958786;4438,51618665048;80,77609253;19,21133232;32,6;0,2
"United States";11,341;2,61;278,2;2,86;78,5390243902439;5,6;82,1209;"USA";16,76750183;9902,81865605884;51,16881943;48,83118439;41,2;1,2
"Argentina";25,841;3,98;289,6;NA;76,833;9,8;73,7375;"ARG";10,23174763;2413,8600637696;64,46273041;35,0945549;41,4;0,6
"Brazil";24,468;1,86;345,2;2,32;74,827;13,7;75,4128;"BRA";9,47124863;1371,23449971244;41,73838425;58,19537735;53,3;5,3
"Bulgaria";42,194;4,18;348,8;7,45;74,8146341463415;6,1;67,2004;"BGR";7,49;1603;54,93;45,06;40,4;1,4
"China";36,05;2,01;NA;4,34;77,248;7;79,9842;"CHN";5,06592178;711,750561442244;56,67334747;43,32621002;39,1;0
"Croatia";10,967;3,37;303,8;5,55;77,8268292682927;4,1;72,0739;"HRV";6,66;1798;82,85;17,15;30,4;0,5
"Cyprus";44,758;3,87;NA;NA;81,328;2,4;78,7369;"CYP";6,62;2558;41,47;58,12;31,4;0
"India";55,112;0,77;NA;0,52;70,467;32,9;56,8443;"IND";2,94;179;32,95;66,46;35,9;13,4
"Indonesia";36,178;0,38;NA;1,04;69,936;21,5;55,2361;"IDN";2,90417194;317,772196812712;46,47950745;52,83429337;36,4;4,3
"Malta";35,225;NA;NA;NA;82,3463414634146;5,6;79,5728;"MLT";8,73;3861;62,9;37,1;29,2;0,2
"Peru";28,641;NA;181,5;NA;75,879;12,8;77,379;"PER";4,8808279;620,83336255983;62,16949844;37,58576965;43,3;4,5
"Romania";20,488;2,93;426,3;6,89;75,209756097561;6,5;70,9404;"ROU";5,19;1394;78,59;21,41;36;3,3
"South Africa";5,835;0,79;598,3;NA;65,402;28,9;66,1108;"ZAF";7,97711229;1112,84356887396;57,23299789;41,6805954;NA;NA
"Ukraine";49,178;NA;NA;NA;71,7809756097561;7,6;69,5506;"UKR";7,44;840;47,27;51,07;26;0
